LGA_NAME,NDVI,NDMI,Rainfall,period_start
Ajingi,0.17243238924847262,-0.13242871227911968,,2026-04-01
Albasu,0.17057599156019917,-0.1671616465023097,,2026-04-01
Bagwai,0.1804242910106818,-0.15645830016190793,,2026-04-01
Bebeji,0.16477752212823252,-0.17803483651360594,,2026-04-01
Bichi,0.18518808233146267,-0.126079596560485,,2026-04-01
Bunkure,0.24983941901872167,-0.14226786286153567,,2026-04-01
Dala,0.14067561598395079,-0.16557453894033147,,2026-04-01
Dambatta,0.15968954226362325,-0.15453433199211242,,2026-04-01
Dawakin Kudu,0.21729562750173403,-0.13067102066183647,,2026-04-01
Dawakin Tofa,0.2259299000392866,-0.11176960567757653,,2026-04-01
Doguwa,0.14793774902269427,-0.18088336996609056,,2026-04-01
Fagge,0.2366460857114622,-0.07409161009958812,,2026-04-01
Gabasawa,0.15980027713910477,-0.13976401821163087,,2026-04-01
Garko,0.2334972844573374,-0.1359663583330075,,2026-04-01
Garum Mallam,0.25036517795728214,-0.13236580545790932,,2026-04-01
Gaya,0.1696650403422723,-0.1785459927105775,,2026-04-01
Gezawa,0.16200779748813485,-0.12132664671974291,,2026-04-01
Gwale,,,,2026-04-01
Gwarzo,0.1625405603959496,-0.16229679566502583,,2026-04-01
Kabo,0.19505400132608577,-0.1441510231532515,,2026-04-01
Kano,0.23514777684632024,-0.11640203581788602,,2026-04-01
Karaye,0.17118519015054207,-0.1553001941213085,,2026-04-01
Kibiya,0.17014572920639223,-0.18669776911299923,,2026-04-01
Kiru,0.16336965113022553,-0.18349783181431328,,2026-04-01
Kumbotso,0.198755510089653,-0.13056580382523983,,2026-04-01
Kunchi,0.17603423775031615,-0.1325482520668022,,2026-04-01
Kura,0.27368777815776024,-0.09614263196069756,,2026-04-01
Madobi,0.2701107249741082,-0.09183390338029045,,2026-04-01
Makoda,0.18637154076037293,-0.1342465288081108,,2026-04-01
Minjibir,0.17473639974117297,-0.12499132882598446,,2026-04-01
Nasarawa,,,,2026-04-01
Rano,0.18619975881921927,-0.16442877716302146,,2026-04-01
Rimin Gado,0.19277881988889645,-0.13716730295512702,,2026-04-01
Rogo,0.1529103565436396,-0.1811013868443996,,2026-04-01
Shanono,0.18009977455320483,-0.1588566306020706,,2026-04-01
Sumaila,0.16162193622724758,-0.18125383590012997,,2026-04-01
Takai,0.17425353551951245,-0.17555171099892433,,2026-04-01
Tarauni,0.20088320406453464,-0.09588467272548896,,2026-04-01
Tofa,0.1437996669650404,-0.1666242425451238,,2026-04-01
Tsanyawa,0.16736033913492426,-0.15051974648349065,,2026-04-01
Tudun Wada,0.1726968669854897,-0.18176297379901485,,2026-04-01
Ungogo,0.15906188093897,-0.1533498770916869,,2026-04-01
Warawa,0.14660112973821612,-0.13657949414424614,,2026-04-01
Wudil,0.2254990294168676,-0.10654996363088744,,2026-04-01
